,station,mean,month,sd
2,PABT,4.3,2,3.4
3,PABT,4.9,3,3.4
4,PABT,5.4,4,3.4
5,PABT,5.4,5,3.6
6,PABT,4.8,6,3.7
7,PABT,4.5,7,3.6
8,PABT,4.1,8,3.5
9,PABT,4.4,9,3.5
10,PABT,4.5,10,3.4
11,PABT,4.1,11,3.4
12,PABT,3.9,12,3.4
1,PACD,16.8,1,9.7
2,PACD,17.4,2,9.6
3,PACD,16.9,3,9.1
4,PACD,16.7,4,8.7
5,PACD,15.9,5,8.1
6,PACD,15.3,6,7.7
7,PACD,14.9,7,7.7
8,PACD,15.4,8,8.0
9,PACD,15.9,9,8.2
10,PACD,16.3,10,8.6
11,PACD,17.3,11,9.2
12,PACD,17.3,12,9.7
1,PACV,5.1,1,6.1
2,PACV,5.2,2,5.9
3,PACV,5.6,3,5.4
4,PACV,5.8,4,5.2
5,PACV,5.2,5,4.7
6,PACV,4.4,6,4.0
7,PACV,3.6,7,3.5
8,PACV,3.9,8,4.1
9,PACV,5.1,9,5.1
10,PACV,5.0,10,5.1
11,PACV,4.7,11,5.5
12,PACV,5.4,12,6.0
1,PACZ,20.6,1,13.2
2,PACZ,19.9,2,12.6
3,PACZ,18.5,3,11.4
4,PACZ,17.4,4,9.9
5,PACZ,13.8,5,8.2
6,PACZ,11.6,6,6.9
7,PACZ,11.0,7,6.5
8,PACZ,12.1,8,7.2
9,PACZ,14.1,9,8.4
10,PACZ,16.1,10,9.5
11,PACZ,17.9,11,11.4
12,PACZ,19.4,12,12.4
1,PADK,15.1,1,9.7
2,PADK,15.6,2,9.4
3,PADK,15.6,3,9.0
4,PADK,15.7,4,8.5
5,PADK,13.6,5,7.0
6,PADK,12.1,6,6.5
7,PADK,10.9,7,6.3
8,PADK,12.0,8,7.1
9,PADK,13.9,9,8.2
10,PADK,14.0,10,8.7
11,PADK,15.1,11,9.6
12,PADK,14.9,12,10.0
1,PADL,10.5,1,6.8
2,PADL,10.5,2,6.5
3,PADL,9.9,3,6.1
4,PADL,9.1,4,5.3
5,PADL,8.4,5,4.9
6,PADL,7.9,6,4.7
7,PADL,7.5,7,4.4
8,PADL,7.7,8,4.8
9,PADL,8.4,9,5.3
10,PADL,8.6,10,5.8
11,PADL,9.1,11,6.1
12,PADL,9.8,12,6.5
1,PADQ,12.4,1,7.8
2,PADQ,12.3,2,8.0
3,PADQ,12.5,3,7.6
4,PADQ,11.8,4,6.7
5,PADQ,10.6,5,5.9
6,PADQ,9.7,6,5.7
7,PADQ,8.0,7,5.1
8,PADQ,8.6,8,5.5
9,PADQ,9.9,9,6.6
10,PADQ,11.2,10,7.3
11,PADQ,12.4,11,8.2
12,PADQ,12.7,12,8.4
1,PADT,5.6,1,5.0
2,PADT,5.8,2,4.5
3,PADT,7.1,3,4.5
4,PADT,7.3,4,3.7
5,PADT,7.9,5,4.3
6,PADT,7.4,6,3.3
7,PADT,6.8,7,3.3
8,PADT,6.3,8,3.6
9,PADT,6.1,9,3.6
10,PADT,6.1,10,4.0
11,PADT,5.2,11,4.2
12,PADT,5.4,12,4.5
1,PADU,12.3,1,8.1
2,PADU,12.3,2,8.1
3,PADU,12.1,3,7.6
4,PADU,12.0,4,7.0
5,PADU,10.2,5,6.1
6,PADU,9.0,6,5.7
7,PADU,8.1,7,5.6
8,PADU,8.5,8,6.1
9,PADU,11.4,9,7.4
10,PADU,12.6,10,7.9
11,PADU,13.1,11,8.4
12,PADU,12.3,12,8.6
1,PAED,4.8,1,4.8
2,PAED,4.9,2,5.2
3,PAED,5.4,3,5.1
4,PAED,5.0,4,4.6
5,PAED,5.6,5,4.6
6,PAED,5.4,6,4.3
7,PAED,4.8,7,4.1
8,PAED,4.1,8,4.1
9,PAED,4.3,9,4.6
10,PAED,4.4,10,4.5
11,PAED,4.5,11,4.6
12,PAED,4.7,12,4.7
1,PAEH,14.5,1,11.3
2,PAEH,16.1,2,11.2
3,PAEH,15.3,3,10.2
4,PAEH,13.6,4,9.9
5,PAEH,11.3,5,8.4
6,PAEH,9.6,6,7.4
7,PAEH,9.7,7,7.4
8,PAEH,12.2,8,8.0
9,PAEH,13.5,9,8.1
10,PAEH,15.0,10,9.2
11,PAEH,16.4,11,10.5
12,PAEH,16.4,12,10.6
1,PAEI,1.9,1,3.9
2,PAEI,2.1,2,3.8
3,PAEI,3.6,3,4.5
4,PAEI,4.5,4,4.5
5,PAEI,5.3,5,4.8
6,PAEI,4.7,6,4.2
7,PAEI,4.1,7,3.9
8,PAEI,3.5,8,3.8
9,PAEI,3.6,9,4.1
10,PAEI,2.7,10,3.8
11,PAEI,1.7,11,3.4
12,PAEI,1.7,12,3.5
1,PAEL,7.6,1,5.5
2,PAEL,6.9,2,5.6
3,PAEL,7.3,3,5.3
4,PAEL,6.0,4,5.2
5,PAEL,4.9,5,4.9
6,PAEL,4.1,6,4.4
7,PAEL,3.4,7,4.2
8,PAEL,3.5,8,4.5
9,PAEL,4.9,9,5.1
10,PAEL,6.3,10,5.1
11,PAEL,7.5,11,5.3
12,PAEL,7.5,12,5.4
1,PAEN,7.9,1,6.4
2,PAEN,8.2,2,6.6
3,PAEN,8.6,3,6.3
4,PAEN,8.2,4,5.4
5,PAEN,8.5,5,5.1
6,PAEN,8.6,6,4.5
7,PAEN,8.1,7,4.6
8,PAEN,7.2,8,5.0
9,PAEN,7.5,9,5.6
10,PAEN,7.3,10,5.8
11,PAEN,7.6,11,6.5
12,PAEN,8.1,12,6.6
1,PAFA,2.0,1,3.3
2,PAFA,2.4,2,3.4
3,PAFA,3.9,3,4.2
4,PAFA,4.8,4,4.3
5,PAFA,5.7,5,4.5
6,PAFA,5.1,6,4.2
7,PAFA,4.6,7,3.9
8,PAFA,4.3,8,3.8
9,PAFA,4.1,9,3.8
10,PAFA,3.3,10,3.5
11,PAFA,2.2,11,3.1
12,PAFA,1.6,12,2.9
1,PAFB,2.0,1,3.4
2,PAFB,2.3,2,3.6
3,PAFB,3.8,3,4.2
4,PAFB,4.9,4,4.3
5,PAFB,6.1,5,4.5
6,PAFB,5.6,6,4.2
7,PAFB,5.3,7,4.1
8,PAFB,4.8,8,4.0
9,PAFB,4.7,9,4.2
10,PAFB,3.4,10,3.7
11,PAFB,2.1,11,3.3
12,PAFB,1.9,12,3.3
1,PAGA,4.1,1,4.9
2,PAGA,4.7,2,5.0
3,PAGA,4.9,3,4.7
4,PAGA,5.3,4,4.4
5,PAGA,5.3,5,4.1
6,PAGA,4.9,6,4.0
7,PAGA,5.0,7,4.1
8,PAGA,5.2,8,4.3
9,PAGA,5.3,9,4.5
10,PAGA,5.2,10,4.6
11,PAGA,4.6,11,5.2
12,PAGA,4.3,12,5.2
1,PAGK,3.2,1,5.0
2,PAGK,3.9,2,5.4
3,PAGK,5.3,3,6.1
4,PAGK,6.4,4,6.0
5,PAGK,7.4,5,5.5
6,PAGK,7.1,6,4.9
7,PAGK,6.8,7,4.8
8,PAGK,6.6,8,5.4
9,PAGK,6.7,9,6.0
10,PAGK,4.8,10,5.3
11,PAGK,3.1,11,4.7
12,PAGK,3.1,12,4.9
1,PAGS,4.9,1,5.0
2,PAGS,5.3,2,5.3
3,PAGS,6.2,3,5.1
4,PAGS,5.5,4,4.5
5,PAGS,5.2,5,4.3
6,PAGS,4.4,6,3.7
7,PAGS,3.9,7,3.4
8,PAGS,3.9,8,3.7
9,PAGS,4.9,9,4.4
10,PAGS,5.8,10,5.1
11,PAGS,5.6,11,5.2
12,PAGS,5.5,12,5.4
1,PAGY,14.0,1,10.3
2,PAGY,12.4,2,9.5
3,PAGY,11.8,3,8.8
4,PAGY,9.4,4,7.9
5,PAGY,9.9,5,7.8
6,PAGY,9.9,6,7.4
7,PAGY,9.2,7,7.6
8,PAGY,8.0,8,7.7
9,PAGY,8.4,9,8.5
10,PAGY,9.1,10,9.0
11,PAGY,10.9,11,9.2
12,PAGY,12.5,12,10.0
1,PAHO,6.3,1,5.8
2,PAHO,6.2,2,5.8
3,PAHO,6.4,3,5.6
4,PAHO,6.7,4,5.2
5,PAHO,6.7,5,5.1
6,PAHO,6.5,6,4.9
7,PAHO,5.7,7,4.7
8,PAHO,5.3,8,4.5
9,PAHO,5.7,9,5.0
10,PAHO,5.8,10,5.2
11,PAHO,6.2,11,5.4
12,PAHO,6.5,12,5.7
1,PAIL,11.2,1,6.7
2,PAIL,10.9,2,7.5
3,PAIL,9.7,3,6.6
4,PAIL,9.6,4,6.2
5,PAIL,9.4,5,5.9
6,PAIL,9.1,6,5.6
7,PAIL,8.5,7,5.2
8,PAIL,8.7,8,5.5
9,PAIL,9.9,9,6.2
10,PAIL,10.6,10,6.3
11,PAIL,11.4,11,6.6
12,PAIL,11.6,12,7.0
1,PAIM,6.6,1,8.2
2,PAIM,6.1,2,7.2
3,PAIM,7.1,3,6.9
4,PAIM,6.4,4,5.6
5,PAIM,6.0,5,4.8
6,PAIM,4.9,6,3.9
7,PAIM,4.5,7,3.8
8,PAIM,4.2,8,3.9
9,PAIM,5.1,9,5.3
10,PAIM,5.2,10,5.9
11,PAIM,6.0,11,7.1
12,PAIM,6.3,12,7.7
1,PAJN,7.5,1,7.1
2,PAJN,7.5,2,7.2
3,PAJN,7.9,3,6.9
4,PAJN,7.9,4,6.5
5,PAJN,7.6,5,5.8
6,PAJN,7.0,6,4.9
7,PAJN,6.7,7,4.5
8,PAJN,6.9,8,5.2
9,PAJN,7.8,9,6.4
10,PAJN,8.5,10,7.1
11,PAJN,7.7,11,7.2
12,PAJN,7.8,12,7.4
1,PAKN,10.2,1,6.7
2,PAKN,10.6,2,6.8
3,PAKN,10.5,3,6.3
4,PAKN,10.5,4,6.1
5,PAKN,10.3,5,6.0
6,PAKN,9.7,6,5.6
7,PAKN,9.1,7,5.0
8,PAKN,9.1,8,5.4
9,PAKN,9.7,9,6.0
10,PAKN,9.5,10,6.0
11,PAKN,9.8,11,6.3
12,PAKN,9.7,12,6.8
1,PAKT,8.2,1,6.3
2,PAKT,8.1,2,6.1
3,PAKT,8.1,3,6.0
4,PAKT,8.2,4,5.6
5,PAKT,7.9,5,4.9
6,PAKT,7.6,6,4.4
7,PAKT,7.2,7,4.3
8,PAKT,7.1,8,4.5
9,PAKT,7.4,9,5.2
10,PAKT,7.9,10,6.1
11,PAKT,7.9,11,6.3
12,PAKT,7.9,12,6.4
1,PALU,13.0,1,9.9
2,PALU,13.3,2,9.8
3,PALU,12.1,3,9.3
4,PALU,11.5,4,8.4
5,PALU,11.6,5,8.4
6,PALU,9.6,6,8.3
7,PALU,11.1,7,9.2
8,PALU,12.9,8,8.5
9,PALU,14.4,9,9.0
10,PALU,15.6,10,10.0
11,PALU,14.3,11,9.7
12,PALU,13.8,12,9.8
1,PAMC,2.4,1,3.8
2,PAMC,3.1,2,4.2
3,PAMC,4.2,3,4.5
4,PAMC,5.0,4,4.3
5,PAMC,5.3,5,4.3
6,PAMC,4.7,6,3.9
7,PAMC,4.3,7,3.7
8,PAMC,4.1,8,3.7
9,PAMC,4.3,9,4.1
10,PAMC,4.0,10,3.9
11,PAMC,2.8,11,3.8
12,PAMC,1.9,12,3.2
1,PAMD,17.0,1,9.5
2,PAMD,16.0,2,9.5
3,PAMD,15.0,3,8.9
4,PAMD,14.1,4,8.3
5,PAMD,11.7,5,6.8
6,PAMD,10.5,6,5.6
7,PAMD,9.0,7,5.0
8,PAMD,9.8,8,6.0
9,PAMD,12.7,9,8.1
10,PAMD,14.5,10,8.9
11,PAMD,16.2,11,9.6
12,PAMD,17.2,12,9.9
1,PAMH,1.8,1,3.2
2,PAMH,1.6,2,3.1
3,PAMH,2.5,3,3.2
4,PAMH,2.5,4,3.1
5,PAMH,2.9,5,3.2
6,PAMH,2.8,6,3.3
7,PAMH,2.7,7,3.3
8,PAMH,2.2,8,3.3
9,PAMH,2.0,9,3.1
10,PAMH,1.9,10,2.9
11,PAMH,1.6,11,2.9
12,PAMH,1.4,12,3.0
1,PAMR,3.1,1,3.6
2,PAMR,3.2,2,3.9
3,PAMR,3.8,3,4.1
4,PAMR,4.1,4,3.7
5,PAMR,4.8,5,3.8
6,PAMR,4.8,6,3.5
7,PAMR,4.2,7,3.4
8,PAMR,3.7,8,3.3
9,PAMR,3.7,9,3.7
10,PAMR,3.5,10,3.6
11,PAMR,3.2,11,3.6
12,PAMR,2.8,12,3.5
1,PAMX,1.1,1,2.2
2,PAMX,1.7,2,2.5
3,PAMX,2.9,3,3.3
4,PAMX,3.7,4,3.3
5,PAMX,4.3,5,3.5
6,PAMX,3.5,6,3.6
7,PAMX,2.7,7,3.3
8,PAMX,2.2,8,2.8
9,PAMX,2.2,9,3.0
10,PAMX,1.8,10,2.6
11,PAMX,1.5,11,2.2
12,PAMX,1.1,12,2.3
1,PANC,6.7,1,5.0
2,PANC,6.7,2,5.2
3,PANC,7.2,3,5.3
4,PANC,7.3,4,4.7
5,PANC,8.4,5,4.7
6,PANC,8.3,6,4.7
7,PANC,7.3,7,4.3
8,PANC,6.8,8,4.5
9,PANC,7.0,9,4.8
10,PANC,6.7,10,4.7
11,PANC,6.7,11,4.9
12,PANC,6.4,12,4.7
1,PANI,5.2,1,4.7
2,PANI,6.2,2,5.0
3,PANI,6.1,3,4.6
4,PANI,6.0,4,4.4
5,PANI,5.6,5,4.2
6,PANI,4.7,6,3.7
7,PANI,4.2,7,3.4
8,PANI,4.2,8,3.6
9,PANI,4.9,9,4.1
10,PANI,5.5,10,4.4
11,PANI,5.4,11,4.6
12,PANI,5.1,12,4.7
1,PANN,5.0,1,5.2
2,PANN,5.1,2,4.8
3,PANN,5.5,3,4.4
4,PANN,5.6,4,4.1
5,PANN,5.7,5,4.1
6,PANN,4.9,6,3.7
7,PANN,4.3,7,3.5
8,PANN,4.2,8,3.5
9,PANN,4.8,9,3.9
10,PANN,4.9,10,4.1
11,PANN,4.8,11,4.8
12,PANN,4.9,12,5.1
1,PANT,8.6,1,6.7
2,PANT,8.0,2,6.3
3,PANT,8.3,3,6.1
4,PANT,7.8,4,5.8
5,PANT,7.0,5,4.9
6,PANT,6.6,6,4.4
7,PANT,5.9,7,4.1
8,PANT,5.9,8,4.6
9,PANT,6.6,9,5.3
10,PANT,7.8,10,6.3
11,PANT,8.5,11,6.5
12,PANT,8.5,12,6.8
1,PAOM,9.6,1,7.9
2,PAOM,10.3,2,8.0
3,PAOM,9.2,3,7.3
4,PAOM,8.9,4,6.4
5,PAOM,8.9,5,5.1
6,PAOM,8.9,6,4.9
7,PAOM,9.1,7,5.1
8,PAOM,9.5,8,5.5
9,PAOM,9.9,9,5.9
10,PAOM,9.3,10,6.3
11,PAOM,10.3,11,7.4
12,PAOM,10.1,12,7.7
1,PAOR,1.7,1,3.1
2,PAOR,2.4,2,3.6
3,PAOR,3.6,3,3.9
4,PAOR,4.8,4,4.0
5,PAOR,5.8,5,4.2
6,PAOR,5.6,6,3.9
7,PAOR,5.1,7,3.9
8,PAOR,4.6,8,3.9
9,PAOR,4.3,9,3.9
10,PAOR,3.7,10,3.8
11,PAOR,2.2,11,3.3
12,PAOR,1.6,12,3.2
1,PAOT,11.3,1,9.0
2,PAOT,11.7,2,9.5
3,PAOT,9.9,3,8.1
4,PAOT,9.9,4,7.2
5,PAOT,9.6,5,5.9
6,PAOT,10.1,6,5.6
7,PAOT,10.8,7,5.5
8,PAOT,11.3,8,5.9
9,PAOT,11.6,9,6.2
10,PAOT,12.0,10,7.2
11,PAOT,12.5,11,9.0
12,PAOT,12.0,12,9.4
1,PAPG,3.4,1,3.4
2,PAPG,3.5,2,3.4
3,PAPG,4.2,3,3.5
4,PAPG,4.4,4,3.3
5,PAPG,4.4,5,3.1
6,PAPG,4.0,6,2.9
7,PAPG,3.2,7,2.7
8,PAPG,2.9,8,2.6
9,PAPG,3.1,9,3.1
10,PAPG,3.6,10,3.6
11,PAPG,3.5,11,3.5
12,PAPG,3.7,12,3.7
1,PAPH,13.8,1,8.4
2,PAPH,14.4,2,8.9
3,PAPH,13.3,3,7.8
4,PAPH,12.5,4,7.6
5,PAPH,12.1,5,7.2
6,PAPH,11.7,6,7.0
7,PAPH,10.7,7,6.7
8,PAPH,11.7,8,7.1
9,PAPH,12.8,9,7.2
10,PAPH,13.0,10,7.6
11,PAPH,13.6,11,8.2
12,PAPH,14.6,12,8.5
1,PAPR,3.9,1,3.7
2,PAPR,4.0,2,3.4
3,PAPR,4.7,3,3.5
4,PAPR,5.2,4,3.4
5,PAPR,5.2,5,3.7
6,PAPR,4.7,6,3.8
7,PAPR,4.4,7,3.7
8,PAPR,4.1,8,3.5
9,PAPR,4.5,9,3.6
10,PAPR,4.4,10,3.4
11,PAPR,3.9,11,3.4
12,PAPR,3.7,12,3.4
1,PARY,6.7,1,6.2
2,PARY,7.7,2,6.3
3,PARY,7.8,3,6.0
4,PARY,8.1,4,5.4
5,PARY,8.0,5,5.0
6,PARY,7.5,6,4.8
7,PARY,7.3,7,4.8
8,PARY,7.6,8,5.1
9,PARY,7.9,9,5.4
10,PARY,7.7,10,5.6
11,PARY,7.2,11,6.2
12,PARY,6.7,12,6.3
1,PASC,13.5,1,7.8
2,PASC,13.2,2,7.7
3,PASC,12.7,3,7.1
4,PASC,12.1,4,6.8
5,PASC,13.4,5,7.1
6,PASC,13.1,6,6.3
7,PASC,12.3,7,5.8
8,PASC,11.7,8,5.9
9,PASC,12.4,9,6.8
10,PASC,12.8,10,7.9
11,PASC,12.8,11,7.8
12,PASC,13.0,12,7.9
1,PASD,12.2,1,8.3
2,PASD,12.2,2,8.4
3,PASD,12.6,3,8.2
4,PASD,11.4,4,7.2
5,PASD,9.5,5,5.8
6,PASD,8.4,6,5.1
7,PASD,7.8,7,5.0
8,PASD,8.8,8,5.7
9,PASD,11.2,9,7.0
10,PASD,13.1,10,8.0
11,PASD,14.1,11,8.8
12,PASD,13.3,12,8.8
1,PASH,11.0,1,6.3
2,PASH,11.1,2,6.9
3,PASH,10.2,3,6.2
4,PASH,9.6,4,5.8
5,PASH,8.2,5,4.9
6,PASH,7.9,6,4.4
7,PASH,9.5,7,5.2
8,PASH,10.6,8,5.8
9,PASH,11.9,9,6.2
10,PASH,11.8,10,6.7
11,PASH,12.5,11,7.4
12,PASH,11.9,12,6.9
1,PASI,9.5,1,6.6
2,PASI,8.8,2,6.2
3,PASI,8.7,3,5.8
4,PASI,8.2,4,5.6
5,PASI,7.4,5,5.2
6,PASI,6.9,6,4.7
7,PASI,6.3,7,4.5
8,PASI,6.1,8,4.5
9,PASI,7.3,9,5.4
10,PASI,9.0,10,6.1
11,PASI,9.7,11,6.4
12,PASI,9.7,12,6.6
1,PASM,13.1,1,8.3
2,PASM,14.2,2,8.1
3,PASM,12.8,3,7.2
4,PASM,11.8,4,6.6
5,PASM,10.3,5,5.2
6,PASM,8.9,6,4.5
7,PASM,8.7,7,4.6
8,PASM,9.3,8,5.3
9,PASM,9.4,9,5.6
10,PASM,9.8,10,6.3
11,PASM,11.7,11,7.5
12,PASM,12.5,12,8.2
1,PASN,18.4,1,9.0
2,PASN,18.3,2,8.8
3,PASN,16.8,3,8.1
4,PASN,16.2,4,7.4
5,PASN,13.8,5,6.1
6,PASN,12.5,6,5.3
7,PASN,11.3,7,5.2
8,PASN,12.2,8,5.7
9,PASN,14.5,9,6.9
10,PASN,16.1,10,7.9
11,PASN,17.6,11,8.6
12,PASN,17.9,12,9.2
1,PASV,5.2,1,7.4
2,PASV,5.8,2,7.3
3,PASV,6.0,3,6.7
4,PASV,6.1,4,5.8
5,PASV,6.0,5,5.1
6,PASV,5.2,6,4.6
7,PASV,4.9,7,4.4
8,PASV,5.4,8,5.1
9,PASV,5.8,9,5.9
10,PASV,5.8,10,6.4
11,PASV,5.9,11,7.3
12,PASV,5.2,12,6.9
1,PASW,4.3,1,4.0
2,PASW,4.9,2,3.9
3,PASW,6.2,3,3.9
4,PASW,6.1,4,3.6
5,PASW,5.8,5,3.4
6,PASW,5.1,6,3.0
7,PASW,4.5,7,2.9
8,PASW,4.5,8,3.1
9,PASW,4.6,9,3.5
10,PASW,5.6,10,3.9
11,PASW,4.6,11,3.8
12,PASW,4.1,12,4.0
1,PASY,19.7,1,10.5
2,PASY,20.4,2,10.3
3,PASY,19.8,3,9.7
4,PASY,18.5,4,8.9
5,PASY,16.0,5,7.6
6,PASY,14.0,6,6.7
7,PASY,12.5,7,6.5
8,PASY,13.7,8,7.0
9,PASY,15.9,9,8.3
10,PASY,18.2,10,9.6
11,PASY,20.5,11,10.8
12,PASY,20.2,12,10.6
1,PATA,4.7,1,4.6
2,PATA,5.3,2,4.6
3,PATA,5.6,3,4.5
4,PATA,5.4,4,4.1
5,PATA,5.6,5,4.1
6,PATA,4.9,6,3.6
7,PATA,4.5,7,3.6
8,PATA,4.2,8,3.4
9,PATA,4.7,9,3.7
10,PATA,4.8,10,4.0
11,PATA,4.5,11,4.4
12,PATA,4.7,12,4.7
1,PATC,24.9,1,12.0
2,PATC,26.1,2,12.0
3,PATC,24.7,3,12.5
4,PATC,22.4,4,10.7
5,PATC,18.2,5,9.8
6,PATC,16.2,6,8.9
7,PATC,14.9,7,8.2
8,PATC,15.5,8,8.3
9,PATC,16.3,9,8.8
10,PATC,16.7,10,9.7
11,PATC,19.3,11,10.6
12,PATC,23.7,12,11.8
1,PATK,5.8,1,4.7
2,PATK,5.5,2,4.5
3,PATK,5.6,3,4.4
4,PATK,4.8,4,3.9
5,PATK,4.9,5,4.0
6,PATK,5.0,6,3.8
7,PATK,4.6,7,3.7
8,PATK,3.7,8,3.4
9,PATK,3.8,9,3.7
10,PATK,4.1,10,3.7
11,PATK,5.1,11,4.4
12,PATK,5.3,12,4.5
1,PATL,3.9,1,4.2
2,PATL,4.4,2,4.2
3,PATL,5.1,3,4.0
4,PATL,5.1,4,4.0
5,PATL,5.0,5,3.9
6,PATL,4.5,6,3.6
7,PATL,4.6,7,3.9
8,PATL,4.1,8,3.8
9,PATL,4.4,9,4.1
10,PATL,4.1,10,3.9
11,PATL,3.9,11,4.0
12,PATL,3.6,12,3.9
1,PAUN,14.8,1,10.2
2,PAUN,14.5,2,9.5
3,PAUN,12.6,3,8.4
4,PAUN,10.2,4,6.5
5,PAUN,8.7,5,5.1
6,PAUN,8.2,6,4.5
7,PAUN,9.1,7,5.0
8,PAUN,9.7,8,5.5
9,PAUN,10.4,9,6.0
10,PAUN,11.1,10,6.9
11,PAUN,14.2,11,8.8
12,PAUN,15.1,12,9.8
1,PAVD,3.5,1,5.4
2,PAVD,3.4,2,5.4
3,PAVD,4.3,3,6.2
4,PAVD,2.9,4,4.1
5,PAVD,4.2,5,4.3
6,PAVD,4.4,6,4.1
7,PAVD,3.4,7,3.4
8,PAVD,2.6,8,3.0
9,PAVD,2.4,9,3.7
10,PAVD,3.0,10,4.4
11,PAVD,3.8,11,5.9
12,PAVD,3.3,12,5.1
1,PAWD,10.5,1,8.2
2,PAWD,9.7,2,7.9
3,PAWD,9.4,3,7.1
4,PAWD,8.0,4,6.1
5,PAWD,7.3,5,5.3
6,PAWD,6.4,6,5.0
7,PAWD,5.7,7,5.0
8,PAWD,6.2,8,5.4
9,PAWD,7.3,9,6.2
10,PAWD,8.9,10,6.9
11,PAWD,10.7,11,8.1
12,PAWD,10.5,12,8.2
1,PAWG,8.1,1,5.5
2,PAWG,7.7,2,5.2
3,PAWG,7.9,3,5.1
4,PAWG,7.1,4,4.4
5,PAWG,6.2,5,3.9
6,PAWG,5.3,6,3.5
7,PAWG,4.2,7,3.3
8,PAWG,4.4,8,3.6
9,PAWG,5.6,9,4.4
10,PAWG,7.3,10,5.0
11,PAWG,8.3,11,5.4
12,PAWG,8.5,12,5.6
1,PAYA,5.0,1,5.2
2,PAYA,4.7,2,5.1
3,PAYA,5.0,3,4.8
4,PAYA,4.8,4,4.4
5,PAYA,4.9,5,4.1
6,PAYA,4.4,6,3.7
7,PAYA,4.0,7,3.6
8,PAYA,4.0,8,3.9
9,PAYA,4.6,9,4.4
10,PAYA,5.1,10,4.8
11,PAYA,4.8,11,4.9
12,PAYA,5.2,12,5.5
1,PFYU,3.2,1,4.3
2,PFYU,3.7,2,4.5
3,PFYU,5.4,3,4.5
4,PFYU,6.5,4,4.3
5,PFYU,6.7,5,4.1
6,PFYU,5.5,6,3.8
7,PFYU,5.3,7,3.7
8,PFYU,4.9,8,3.7
9,PFYU,5.3,9,3.9
10,PFYU,4.6,10,4.1
11,PFYU,3.5,11,4.5
12,PFYU,3.0,12,4.1
